time,Fx_true,Fy_true,Fz_true,Mx_true,My_true,Mz_true,rpm,psi_deg,omega_dot,thrust,torque_aero,v_induced_mean,v_inf,inflow_angle_deg
0.000665,-5.6378513e-18,1.73472348e-18,0.0902211863,-1.49077799e-19,8.13151629e-20,-0.00032601777,27309.072,108.963197,0,0.0902211863,0.00032601777,7.79267449,0,0
0.00067,-1.73472348e-18,3.46944695e-18,0.0902211863,-6.77626358e-20,8.13151629e-20,-0.00032601777,27309.072,109.782469,0,0.0902211863,0.00032601777,7.79267449,0,0
0.000675,-8.67361738e-19,8.67361738e-19,0.0902211863,-1.35525272e-20,5.42101086e-20,-0.00032601777,27309.072,110.601741,0,0.0902211863,0.00032601777,7.79267449,0,0
0.00068,-1.30104261e-18,-8.67361738e-19,0.0902211863,-2.71050543e-20,-2.71050543e-20,-0.00032601777,27309.072,111.421014,0,0.0902211863,0.00032601777,7.79267449,0,0
0.000685,1.73472348e-18,-8.67361738e-19,0.0902211863,6.77626358e-20,-8.13151629e-20,-0.00032601777,27309.072,112.240286,0,0.0902211863,0.00032601777,7.79267449,0,0
0.00069,-3.03576608e-18,1.73472348e-18,0.0902211863,-8.13151629e-20,2.71050543e-20,-0.00032601777,27309.072,113.059558,0,0.0902211863,0.00032601777,7.79267449,0,0
0.000695,-8.67361738e-19,8.67361738e-19,0.0902211863,-8.13151629e-20,0,-0.00032601777,27309.072,113.87883,0,0.0902211863,0.00032601777,7.79267449,0,0
0.0007,-6.9388939e-18,2.60208521e-18,0.0902211863,-1.8973538e-19,8.13151629e-20,-0.00032601777,27309.072,114.698102,0,0.0902211863,0.00032601777,7.79267449,0,0
0.000705,-8.67361738e-19,0,0.0902211863,-1.35525272e-20,2.71050543e-20,-0.00032601777,27309.072,115.517374,0,0.0902211863,0.00032601777,7.79267449,0,0
0.00071,4.33680869e-18,-1.73472348e-18,0.0902211863,1.35525272e-19,-1.08420217e-19,-0.00032601777,27309.072,116.336647,0,0.0902211863,0.00032601777,7.79267449,0,0
